age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
23.892982482910156, Private,241728.71875, 11th,6.839849948883057, Never-married, Handlers-cleaners, Own-child, White, Male,95.317138671875,37.159629821777344,38.679603576660156, United-States, <=50K
40.832725524902344, Private,179120.96875, HS-grad,8.985740661621094, Married-civ-spouse, Craft-repair, Husband, White, Male,162.2333984375,57.96208953857422,46.31474685668945, United-States, <=50K
43.017967224121094, Local-gov,193390.234375, Assoc-acdm,11.939743995666504, Married-civ-spouse, Protective-serv, Husband, White, Male,2303.7236328125,208.99981689453125,45.34255599975586, United-States, <=50K
42.99348831176758, Private,232317.0, Some-college,10.048694610595703, Married-civ-spouse, Craft-repair, Husband, White, Male,2576.13525390625,-2.2160263061523438,44.05347442626953, United-States, >50K
24.30477523803711, Private,185210.828125, Some-college,10.063811302185059, Never-married, Adm-clerical, Own-child, White, Male,154.48931884765625,48.01116943359375,28.40801429748535, United-States, <=50K
30.446569442749023, Private,192078.796875, 10th,5.986435413360596, Never-married, Other-service, Not-in-family, White, Female,96.32086181640625,49.36349868774414,40.431297302246094, United-States, <=50K
31.790603637695312, Private,236677.328125, HS-grad,9.015435218811035, Never-married, Craft-repair, Not-in-family, White, Male,187.80743408203125,48.49564743041992,44.22028732299805, United-States, <=50K
50.6135139465332, Self-emp-not-inc,176989.15625, Prof-school,14.863277435302734, Married-civ-spouse, Prof-specialty, Husband, White, Male,13039.25,40.7099723815918,43.27007293701172, United-States, >50K
28.27549171447754, Private,188999.65625, Some-college,10.034128189086914, Never-married, Adm-clerical, Not-in-family, White, Female,92.088134765625,32.268856048583984,35.5721435546875, United-States, <=50K
58.88698959350586, Private,177386.921875, 7th-8th,4.238475799560547, Married-civ-spouse, Other-service, Husband, White, Male,204.21807861328125,64.69891357421875,42.24783706665039, United-States, <=50K
43.04081344604492, Private,177812.921875, HS-grad,9.000619888305664, Married-civ-spouse, Craft-repair, Husband, White, Male,3670.10693359375,-0.1887054443359375,36.695037841796875, United-States, >50K
43.750797271728516, Private,188622.578125, Bachelors,12.89700984954834, Married-civ-spouse, Prof-specialty, Husband, White, Male,83.10528564453125,68.53462219238281,40.81563949584961, United-States, >50K
31.85811996459961, Private,185653.09375, HS-grad,8.985408782958984, Never-married, Adm-clerical, Not-in-family, White, Female,97.5281982421875,47.265254974365234,39.0642204284668, United-States, <=50K
43.258155822753906, Private,175615.046875, HS-grad,9.015437126159668, Married-civ-spouse, Craft-repair, Husband, White, Male,342.39801025390625,69.3123550415039,43.24372100830078, United-States, <=50K
41.9891242980957, Private,180209.65625, HS-grad,9.000619888305664, Married-civ-spouse, Craft-repair, Husband, White, Male,2832.549072265625,1.8537750244140625,44.17845916748047, United-States, <=50K
42.999961853027344, Private,184748.984375, Masters,13.816457748413086, Married-civ-spouse, Exec-managerial, Husband, White, Male,4676.7333984375,303.29864501953125,47.82359313964844, United-States, >50K
20.918428421020508, Private,194849.28125, Some-college,10.03377628326416, Never-married, Other-service, Own-child, White, Male,93.21728515625,35.33877182006836,30.543766021728516, United-States, <=50K
39.9272346496582, Private,178460.09375, HS-grad,8.9854097366333, Married-civ-spouse, Other-service, Wife, White, Female,156.97900390625,47.865665435791016,36.36852264404297, United-States, <=50K
57.10005187988281, Private,181810.625, HS-grad,8.985809326171875, Divorced, Other-service, Unmarried, White, Female,100.5966796875,41.283966064453125,37.842140197753906, United-States, <=50K
45.02261734008789, Private,181738.046875, Doctorate,16.18075942993164, Married-civ-spouse, Prof-specialty, Husband, White, Male,8328.9921875,373.748291015625,48.438480377197266, United-States, >50K
41.93825912475586, Private,191655.5, Bachelors,12.979500770568848, Married-civ-spouse, Exec-managerial, Husband, White, Male,2854.57568359375,235.0144805908203,44.414188385009766, United-States, >50K
23.593738555908203, Private,223975.8125, Some-college,10.034128189086914, Never-married, Adm-clerical, Not-in-family, White, Female,96.8837890625,38.75341796875,34.9166145324707, United-States, <=50K
63.300743103027344, Private,167959.9375, 7th-8th,4.359060287475586, Widowed, Other-service, Not-in-family, White, Male,370.20550537109375,80.18988800048828,27.56612205505371, United-States, <=50K
30.315467834472656, Private,252485.15625, Bachelors,13.066228866577148, Never-married, Prof-specialty, Not-in-family, White, Male,113.814208984375,75.70111846923828,42.99519729614258, United-States, <=50K
40.09560775756836, Private,194913.21875, Bachelors,13.066228866577148, Married-civ-spouse, Prof-specialty, Husband, White, Male,116.87060546875,69.02740478515625,43.40528869628906, United-States, <=50K
44.638885498046875, Private,176294.484375, HS-grad,9.000186920166016, Married-civ-spouse, Farming-fishing, Husband, White, Male,3594.22216796875,8.658210754394531,46.42274475097656, United-States, >50K
21.110401153564453, Private,196601.984375, HS-grad,8.985485076904297, Never-married, Other-service, Own-child, White, Female,94.1558837890625,34.034278869628906,35.34264373779297, United-States, <=50K
38.436683654785156, Private,244348.8125, HS-grad,8.985740661621094, Never-married, Craft-repair, Not-in-family, White, Female,115.6209716796875,43.4552116394043,38.401611328125, United-States, <=50K
41.45268249511719, Private,177304.53125, HS-grad,8.985742568969727, Married-civ-spouse, Craft-repair, Husband, White, Male,197.99981689453125,66.14155578613281,42.428497314453125, United-States, <=50K
33.682289123535156, Private,184406.0625, Some-college,10.164985656738281, Never-married, Craft-repair, Not-in-family, White, Male,136.6092529296875,80.0652084350586,45.14558029174805, United-States, <=50K
45.69184875488281, Private,230946.5, Some-college,10.092756271362305, Married-civ-spouse, Protective-serv, Husband, White, Male,2840.532958984375,5.484001159667969,46.708168029785156, United-States, >50K
54.563480377197266, Private,169826.3125, 11th,6.837337493896484, Divorced, Other-service, Not-in-family, White, Female,232.18914794921875,56.15541458129883,36.70989990234375, United-States, <=50K
33.72106170654297, Private,193764.6875, Bachelors,12.896934509277344, Never-married, Exec-managerial, Not-in-family, White, Male,244.743408203125,71.02354431152344,46.56134033203125, United-States, <=50K
42.07835388183594, Local-gov,196600.125, Some-college,10.030338287353516, Married-civ-spouse, Protective-serv, Husband, White, Male,98.64697265625,44.21023178100586,39.945674896240234, United-States, <=50K
41.20573043823242, Private,185402.046875, HS-grad,9.01831340789795, Never-married, Adm-clerical, Not-in-family, White, Female,107.22607421875,45.71120071411133,41.873897552490234, United-States, <=50K
43.574668884277344, Private,174692.15625, HS-grad,9.015437126159668, Married-civ-spouse, Craft-repair, Husband, White, Male,384.78265380859375,79.99516296386719,35.72075271606445, United-States, <=50K
43.44231033325195, Private,189984.203125, Bachelors,13.105371475219727, Married-civ-spouse, Prof-specialty, Husband, White, Male,3071.152099609375,248.403076171875,45.79294204711914, United-States, >50K
31.249740600585938, Private,261031.96875, 5th-6th,2.9937171936035156, Never-married, Craft-repair, Not-in-family, White, Female,110.36248779296875,39.902645111083984,37.189231872558594, Mexico, <=50K
31.277509689331055, Private,197956.3125, 10th,6.030717849731445, Never-married, Handlers-cleaners, Own-child, White, Male,93.71429443359375,42.66633987426758,27.20132827758789, United-States, <=50K
24.498863220214844, Private,197270.25, HS-grad,8.985856056213379, Never-married, Handlers-cleaners, Own-child, White, Male,94.67071533203125,40.725040435791016,34.6749153137207, United-States, <=50K
43.883487701416016, Private,177422.046875, Masters,13.89000129699707, Married-civ-spouse, Exec-managerial, Husband, White, Male,7160.255859375,321.3708801269531,38.56346893310547, United-States, >50K
46.152591705322266, Private,182934.171875, Assoc-voc,11.291914939880371, Married-civ-spouse, Exec-managerial, Husband, White, Male,4245.169921875,215.81484985351562,51.26176834106445, United-States, >50K
39.53799057006836, Private,183470.765625, HS-grad,8.985740661621094, Married-civ-spouse, Craft-repair, Husband, White, Male,99.2149658203125,46.674957275390625,46.23405838012695, United-States, <=50K
40.950218200683594, Private,190658.453125, 11th,6.84517240524292, Married-civ-spouse, Craft-repair, Husband, White, Male,100.4588623046875,49.454742431640625,40.672874450683594, United-States, <=50K
24.340206146240234, Private,182816.40625, Some-college,10.030752182006836, Never-married, Other-service, Own-child, White, Male,102.5086669921875,34.2872200012207,35.03314208984375, United-States, <=50K
39.19520568847656, Private,184679.46875, Assoc-voc,11.425518989562988, Married-civ-spouse, Adm-clerical, Wife, White, Female,2587.34326171875,189.50418090820312,39.889644622802734, United-States, <=50K
